Date,Time,Meal_Time,Student_ID,Item,Quantity,Actual_Item_Price,Price,Total_Amount,Payment_Mode,Weather,Rating,Taste,DayOfWeek
15-09-2025,13:57,Lunch,34,Bisibele Bath,1,25,25,25,UPI,Sunny,3.7,Good,Monday
15-09-2025,09:44,Breakfast,70,Coffee,2,15,15,30,UPI,Rainy,3.3,Average,Monday
15-09-2025,13:06,Lunch,98,Chapati,1,25,25,25,UPI,Windy,4.5,Excellent,Monday
15-09-2025,16:40,Evening Snacks,6,Coffee,2,50,50,100,UPI,Rainy,4.5,Excellent,Monday
15-09-2025,12:03,Lunch,85,Dosa,1,15,15,15,UPI,Sunny,3.7,Good,Monday
15-09-2025,18:36,Evening Snacks,47,Pani Puri,1,25,25,25,Cash,Sunny,3.8,Good,Monday
15-09-2025,16:07,Evening Snacks,16,French Fries,3,90,90,270,UPI,Rainy,3.6,Average,Monday
15-09-2025,13:42,Lunch,48,Tea,1,35,35,35,Cash,Sunny,4.1,Good,Monday
15-09-2025,08:39,Breakfast,94,Chapati,2,45,45,90,UPI,Rainy,4.7,Excellent,Monday
15-09-2025,15:05,Evening Snacks,27,Tea,2,90,90,180,UPI,Cloudy,4.3,Very Good,Monday
15-09-2025,13:49,Lunch,46,Sandwich,2,15,15,30,UPI,Sunny,4.4,Very Good,Monday
15-09-2025,19:42,Evening Snacks,35,Dosa,1,40,40,40,UPI,Rainy,4.3,Very Good,Monday
15-09-2025,18:40,Evening Snacks,72,French Fries,1,50,50,50,UPI,Cloudy,4,Good,Monday
15-09-2025,18:06,Evening Snacks,71,Coffee,1,15,15,15,UPI,Cloudy,4.4,Very Good,Monday
15-09-2025,16:59,Evening Snacks,92,Pani Puri,2,35,35,70,Card,Rainy,4.3,Very Good,Monday
15-09-2025,13:22,Lunch,20,Dosa,1,45,45,45,Cash,Sunny,4.6,Excellent,Monday
15-09-2025,09:29,Breakfast,93,Dosa,1,25,25,25,UPI,Cloudy,3.8,Good,Monday
15-09-2025,16:22,Evening Snacks,3,Coffee,1,90,90,90,UPI,Cloudy,3.3,Average,Monday
15-09-2025,17:33,Evening Snacks,56,Bhel Puri,3,30,30,90,UPI,Sunny,4.4,Very Good,Monday
15-09-2025,09:39,Breakfast,50,Tea,1,25,25,25,UPI,Sunny,4.1,Good,Monday
15-09-2025,19:41,Evening Snacks,97,Dosa,1,40,40,40,UPI,Cloudy,3.9,Good,Monday
