"transaction_id","date","customer_type","weather","item_name","category","unit_cost","price","day_of_week","quantity","total_amount"
1096,2024-01-01,"Student","Rainy","Sandwich","Snacks",30,60,"Monday",2,120
2109,2024-01-01,"Student","Rainy","Tea","Beverages",8,20,"Monday",2,40
2218,2024-01-01,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Monday",1,120
2650,2024-01-01,"Staff","Sunny","Fruit Bowl","Healthy",25,50,"Monday",1,50
2917,2024-01-01,"Student","Sunny","Tea","Beverages",8,20,"Monday",2,40
2945,2024-01-01,"Staff","Sunny","Pasta","Main Course",90,150,"Monday",1,150
3238,2024-01-01,"Student","Sunny","Pasta","Main Course",90,150,"Monday",1,150
3260,2024-01-01,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Monday",1,120
3362,2024-01-01,"Student","Sunny","Tea","Beverages",8,20,"Monday",3,60
3422,2024-01-01,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Monday",1,120
3433,2024-01-01,"Student","Sunny","Pasta","Main Course",90,150,"Monday",1,150
3677,2024-01-01,"Student","Sunny","Tea","Beverages",8,20,"Monday",2,40
3679,2024-01-01,"Student","Rainy","Fruit Bowl","Healthy",25,50,"Monday",1,50
3683,2024-01-01,"Student","Cloudy","Veg Thali","Main Course",50,80,"Monday",1,80
3771,2024-01-01,"Student","Rainy","Pasta","Main Course",90,150,"Monday",1,150
3832,2024-01-01,"Student","Sunny","Tea","Beverages",8,20,"Monday",2,40
4394,2024-01-01,"Student","Rainy","Veg Thali","Main Course",50,80,"Monday",1,80
4830,2024-01-01,"Student","Sunny","Pasta","Main Course",90,150,"Monday",1,150
4941,2024-01-01,"Student","Rainy","Tea","Beverages",8,20,"Monday",2,40
5299,2024-01-01,"Student","Sunny","Coffee","Beverages",15,40,"Monday",1,40
5755,2024-01-01,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Monday",1,50
6277,2024-01-01,"Staff","Cloudy","Sandwich","Snacks",30,60,"Monday",1,60
7387,2024-01-01,"Staff","Sunny","Sandwich","Snacks",30,60,"Monday",1,60
8624,2024-01-01,"Staff","Rainy","Veg Thali","Main Course",50,80,"Monday",1,80
8865,2024-01-01,"Visitor","Cloudy","Veg Thali","Main Course",50,80,"Monday",1,80
9292,2024-01-01,"Student","Cloudy","Chicken Biryani","Main Course",70,120,"Monday",1,120
9583,2024-01-01,"Student","Sunny","Tea","Beverages",8,20,"Monday",1,20
9839,2024-01-01,"Visitor","Sunny","Pasta","Main Course",90,150,"Monday",1,150
9879,2024-01-01,"Staff","Rainy","Veg Thali","Main Course",50,80,"Monday",1,80
614,2024-01-02,"Student","Sunny","Sandwich","Snacks",30,60,"Tuesday",3,180
905,2024-01-02,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
2009,2024-01-02,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Tuesday",1,120
2105,2024-01-02,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
2207,2024-01-02,"Student","Rainy","Coffee","Beverages",15,40,"Tuesday",3,120
2341,2024-01-02,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
3203,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
3360,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
3689,2024-01-02,"Student","Cloudy","Sandwich","Snacks",30,60,"Tuesday",4,240
4016,2024-01-02,"Staff","Sunny","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
4166,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
4711,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
4739,2024-01-02,"Student","Sunny","Coffee","Beverages",15,40,"Tuesday",3,120
5366,2024-01-02,"Staff","Sunny","Coffee","Beverages",15,40,"Tuesday",2,80
5576,2024-01-02,"Student","Cloudy","Pasta","Main Course",90,150,"Tuesday",1,150
6131,2024-01-02,"Student","Cloudy","Tea","Beverages",8,20,"Tuesday",1,20
6197,2024-01-02,"Student","Cloudy","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
6756,2024-01-02,"Student","Cloudy","Coffee","Beverages",15,40,"Tuesday",2,80
7057,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
7215,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
7254,2024-01-02,"Staff","Sunny","Chicken Biryani","Main Course",70,120,"Tuesday",1,120
7489,2024-01-02,"Student","Sunny","Tea","Beverages",8,20,"Tuesday",1,20
7519,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
8211,2024-01-02,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
8358,2024-01-02,"Student","Cloudy","Tea","Beverages",8,20,"Tuesday",2,40
8599,2024-01-02,"Student","Sunny","Tea","Beverages",8,20,"Tuesday",2,40
8604,2024-01-02,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Tuesday",1,120
8689,2024-01-02,"Student","Sunny","Veg Thali","Main Course",50,80,"Tuesday",1,80
8929,2024-01-02,"Student","Rainy","Tea","Beverages",8,20,"Tuesday",3,60
9099,2024-01-02,"Student","Sunny","Tea","Beverages",8,20,"Tuesday",3,60
9343,2024-01-02,"Student","Sunny","Pasta","Main Course",90,150,"Tuesday",1,150
9655,2024-01-02,"Student","Cloudy","Fruit Bowl","Healthy",25,50,"Tuesday",1,50
9671,2024-01-02,"Staff","Cloudy","Sandwich","Snacks",30,60,"Tuesday",1,60
941,2024-01-03,"Student","Sunny","Tea","Beverages",8,20,"Wednesday",3,60
2370,2024-01-03,"Staff","Rainy","Chicken Biryani","Main Course",70,120,"Wednesday",1,120
3292,2024-01-03,"Staff","Rainy","Tea","Beverages",8,20,"Wednesday",2,40
3448,2024-01-03,"Student","Cloudy","Tea","Beverages",8,20,"Wednesday",1,20
3870,2024-01-03,"Student","Cloudy","Tea","Beverages",8,20,"Wednesday",2,40
4169,2024-01-03,"Staff","Cloudy","Coffee","Beverages",15,40,"Wednesday",2,80
4284,2024-01-03,"Student","Rainy","Chicken Biryani","Main Course",70,120,"Wednesday",1,120
4299,2024-01-03,"Student","Rainy","Sandwich","Snacks",30,60,"Wednesday",4,240
4331,2024-01-03,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Wednesday",1,50
5817,2024-01-03,"Student","Cloudy","Tea","Beverages",8,20,"Wednesday",3,60
6160,2024-01-03,"Student","Cloudy","Sandwich","Snacks",30,60,"Wednesday",4,240
6483,2024-01-03,"Student","Rainy","Sandwich","Snacks",30,60,"Wednesday",4,240
6583,2024-01-03,"Student","Cloudy","Veg Thali","Main Course",50,80,"Wednesday",1,80
6754,2024-01-03,"Staff","Sunny","Veg Thali","Main Course",50,80,"Wednesday",1,80
7906,2024-01-03,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Wednesday",1,120
8213,2024-01-03,"Student","Sunny","Veg Thali","Main Course",50,80,"Wednesday",1,80
8291,2024-01-03,"Staff","Cloudy","Tea","Beverages",8,20,"Wednesday",3,60
8344,2024-01-03,"Staff","Sunny","Pasta","Main Course",90,150,"Wednesday",1,150
8595,2024-01-03,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Wednesday",1,120
8814,2024-01-03,"Student","Rainy","Pasta","Main Course",90,150,"Wednesday",1,150
9064,2024-01-03,"Staff","Rainy","Fruit Bowl","Healthy",25,50,"Wednesday",1,50
9796,2024-01-03,"Student","Sunny","Veg Thali","Main Course",50,80,"Wednesday",1,80
71,2024-01-04,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Thursday",1,50
238,2024-01-04,"Student","Cloudy","Sandwich","Snacks",30,60,"Thursday",3,180
689,2024-01-04,"Student","Rainy","Chicken Biryani","Main Course",70,120,"Thursday",1,120
1068,2024-01-04,"Student","Cloudy","Sandwich","Snacks",30,60,"Thursday",3,180
1345,2024-01-04,"Student","Sunny","Chicken Biryani","Main Course",70,120,"Thursday",1,120
1871,2024-01-04,"Student","Sunny","Veg Thali","Main Course",50,80,"Thursday",1,80
1993,2024-01-04,"Student","Sunny","Fruit Bowl","Healthy",25,50,"Thursday",1,50
2360,2024-01-04,"Student","Rainy","Coffee","Beverages",15,40,"Thursday",2,80
